x,y
15.075,16
15.525,1
15.975,2
17.325000000000003,1
17.775000000000002,1
18.225,1
18.675,2
19.575000000000003,1
20.475,1
20.925,2
21.375000000000004,2
21.825000000000003,1
23.175,1
24.075000000000003,2
24.525000000000002,1
24.975,2
25.425,2
26.325000000000003,1
27.675,1
28.125000000000004,1
29.025000000000002,2
29.925,1
32.625,1
33.975,1
35.775000000000006,1
37.575,1
38.925000000000004,1
39.825,1
41.175000000000004,1
42.075,1
42.975,1
43.875,1
45.225,1
46.125,1
47.025000000000006,1
47.475,3
48.375,1
48.825,3
50.625,1
51.075,1
60.075,6
