x,y
15.075,1
15.525,2
15.975,9
16.425,8
16.875000000000004,7
17.325000000000003,2
17.775000000000002,3
18.225,5
18.675,5
19.125000000000004,4
19.575000000000003,4
20.025000000000002,3
20.475,1
20.925,4
21.375000000000004,1
21.825000000000003,5
22.275000000000002,1
22.725,2
23.175,1
23.625000000000004,1
24.075000000000003,2
24.525000000000002,6
24.975,3
25.425,2
25.875000000000004,1
26.325000000000003,2
27.225,1
27.675,2
28.125000000000004,1
28.575000000000003,1
29.475,1
29.925,3
30.375000000000004,2
31.275000000000002,3
31.725,1
32.175,3
32.625,1
33.075,2
33.525000000000006,1
33.975,3
35.325,2
36.675000000000004,3
37.125,2
37.575,1
38.475,4
38.925000000000004,2
40.725,2
42.525000000000006,2
43.875,1
44.325,1
45.225,1
46.575,3
47.025000000000006,2
47.475,1
48.375,1
48.825,1
51.075,2
52.425000000000004,1
52.875,2
53.775000000000006,1
54.225,1
55.125,2
56.025000000000006,1
60.075,28
